Time (s),Illuminance (lux),Timestamp,Condition
43.21,224.54,2026-01-12 00:36:52.376,Transition
43.31,171.24,2026-01-12 00:36:52.476,Transition
43.41,185.47,2026-01-12 00:36:52.576,Transition
43.51,181.6,2026-01-12 00:36:52.676,Transition
43.609,190.44,2026-01-12 00:36:52.775,Transition
43.71,213.62,2026-01-12 00:36:52.876,Transition
43.81,194.44,2026-01-12 00:36:52.976,Transition
43.909,167.49,2026-01-12 00:36:53.075,Transition
44.009,174.49,2026-01-12 00:36:53.175,Transition
44.109,171.24,2026-01-12 00:36:53.275,Transition
44.209,186.41,2026-01-12 00:36:53.375,Transition
44.309,212.98,2026-01-12 00:36:53.475,Transition
44.409,195.5,2026-01-12 00:36:53.575,Transition
44.509,165.82,2026-01-12 00:36:53.675,Transition
44.609,161.37,2026-01-12 00:36:53.775,Transition
44.709,166.7,2026-01-12 00:36:53.875,Transition
44.809,203.17,2026-01-12 00:36:53.975,Transition
44.909,200.56,2026-01-12 00:36:54.075,Transition
45.009,216.34,2026-01-12 00:36:54.175,Transition
45.108,196.99,2026-01-12 00:36:54.274,Transition
45.209,171.24,2026-01-12 00:36:54.375,Transition
45.308,208.35,2026-01-12 00:36:54.474,Transition
45.404,180.67,2026-01-12 00:36:54.570,Transition
45.499,171.24,2026-01-12 00:36:54.665,Transition
45.603,208.35,2026-01-12 00:36:54.769,Transition
45.709,195.41,2026-01-12 00:36:54.875,Transition
45.809,187.94,2026-01-12 00:36:54.975,Transition
45.909,192.87,2026-01-12 00:36:55.075,Transition
46.009,195.78,2026-01-12 00:36:55.175,Transition
46.109,137.64,2026-01-12 00:36:55.275,Transition
46.209,171.24,2026-01-12 00:36:55.375,Transition
46.308,183.11,2026-01-12 00:36:55.474,Transition
46.409,179.75,2026-01-12 00:36:55.575,Transition
46.509,141.65,2026-01-12 00:36:55.675,Transition
46.607,220.14,2026-01-12 00:36:55.773,Transition
46.708,149.15,2026-01-12 00:36:55.874,Transition
46.802,219.09,2026-01-12 00:36:55.968,Transition
46.899,157.84,2026-01-12 00:36:56.065,Transition
46.996,162.23,2026-01-12 00:36:56.162,Transition
47.096,175.05,2026-01-12 00:36:56.262,Transition
47.198,183.11,2026-01-12 00:36:56.364,Transition
47.296,175.96,2026-01-12 00:36:56.462,Transition
47.396,187.0,2026-01-12 00:36:56.562,Transition
47.496,179.75,2026-01-12 00:36:56.662,Transition
47.596,182.17,2026-01-12 00:36:56.762,Transition
47.701,175.05,2026-01-12 00:36:56.867,Transition
47.802,169.0,2026-01-12 00:36:56.968,Transition
47.902,166.7,2026-01-12 00:36:57.068,Transition
48.002,173.59,2026-01-12 00:36:57.168,Transition
48.102,169.0,2026-01-12 00:36:57.268,Transition
48.203,183.11,2026-01-12 00:36:57.369,Transition
48.308,183.11,2026-01-12 00:36:57.474,Transition
48.408,156.92,2026-01-12 00:36:57.574,Transition
48.508,156.92,2026-01-12 00:36:57.674,Transition
48.608,172.69,2026-01-12 00:36:57.774,Transition
48.708,170.35,2026-01-12 00:36:57.874,Transition
48.808,190.44,2026-01-12 00:36:57.974,Transition
48.908,183.11,2026-01-12 00:36:58.074,Transition
49.007,185.47,2026-01-12 00:36:58.173,Transition
49.107,192.96,2026-01-12 00:36:58.273,Transition
49.207,168.92,2026-01-12 00:36:58.373,Transition
49.3,172.69,2026-01-12 00:36:58.466,Transition
